window_id,site_id,split,context_start,context_end,forecast_origin,target_start,target_end,shuffle_source_window_id,shuffle_source_origin
site0_start10293,0,test,2022-03-06 21:00:00,2022-03-07 20:00:00,2022-03-07 20:00:00,2022-03-07 21:00:00,2022-03-08 20:00:00,site9_start10871,2022-03-31 22:00:00
site0_start10294,0,test,2022-03-06 22:00:00,2022-03-07 21:00:00,2022-03-07 21:00:00,2022-03-07 22:00:00,2022-03-08 21:00:00,site0_start11437,2022-04-24 12:00:00
site0_start10295,0,test,2022-03-06 23:00:00,2022-03-07 22:00:00,2022-03-07 22:00:00,2022-03-07 23:00:00,2022-03-08 22:00:00,site1_start11992,2022-05-17 15:00:00
site0_start10296,0,test,2022-03-07 00:00:00,2022-03-07 23:00:00,2022-03-07 23:00:00,2022-03-08 00:00:00,2022-03-08 23:00:00,site1_start11714,2022-05-06 01:00:00
site0_start10297,0,test,2022-03-07 01:00:00,2022-03-08 00:00:00,2022-03-08 00:00:00,2022-03-08 01:00:00,2022-03-09 00:00:00,site8_start10410,2022-03-12 17:00:00
site0_start10298,0,test,2022-03-07 02:00:00,2022-03-08 01:00:00,2022-03-08 01:00:00,2022-03-08 02:00:00,2022-03-09 01:00:00,site0_start11657,2022-05-03 16:00:00
site0_start10299,0,test,2022-03-07 03:00:00,2022-03-08 02:00:00,2022-03-08 02:00:00,2022-03-08 03:00:00,2022-03-09 02:00:00,site1_start10505,2022-03-16 16:00:00
site0_start10300,0,test,2022-03-07 04:00:00,2022-03-08 03:00:00,2022-03-08 03:00:00,2022-03-08 04:00:00,2022-03-09 03:00:00,site4_start10663,2022-03-23 06:00:00
site0_start10301,0,test,2022-03-07 05:00:00,2022-03-08 04:00:00,2022-03-08 04:00:00,2022-03-08 05:00:00,2022-03-09 04:00:00,site3_start12538,2022-06-09 09:00:00
site0_start10302,0,test,2022-03-07 06:00:00,2022-03-08 05:00:00,2022-03-08 05:00:00,2022-03-08 06:00:00,2022-03-09 05:00:00,site4_start12265,2022-05-29 00:00:00
site0_start10303,0,test,2022-03-07 07:00:00,2022-03-08 06:00:00,2022-03-08 06:00:00,2022-03-08 07:00:00,2022-03-09 06:00:00,site9_start10567,2022-03-19 06:00:00
site0_start10304,0,test,2022-03-07 08:00:00,2022-03-08 07:00:00,2022-03-08 07:00:00,2022-03-08 08:00:00,2022-03-09 07:00:00,site2_start11260,2022-04-17 03:00:00
site0_start10305,0,test,2022-03-07 09:00:00,2022-03-08 08:00:00,2022-03-08 08:00:00,2022-03-08 09:00:00,2022-03-09 08:00:00,site7_start12432,2022-06-04 23:00:00
site0_start10306,0,test,2022-03-07 10:00:00,2022-03-08 09:00:00,2022-03-08 09:00:00,2022-03-08 10:00:00,2022-03-09 09:00:00,site2_start10945,2022-04-04 00:00:00
site0_start10307,0,test,2022-03-07 11:00:00,2022-03-08 10:00:00,2022-03-08 10:00:00,2022-03-08 11:00:00,2022-03-09 10:00:00,site8_start11608,2022-05-01 15:00:00
site0_start10308,0,test,2022-03-07 12:00:00,2022-03-08 11:00:00,2022-03-08 11:00:00,2022-03-08 12:00:00,2022-03-09 11:00:00,site7_start12778,2022-06-19 09:00:00
site0_start10309,0,test,2022-03-07 13:00:00,2022-03-08 12:00:00,2022-03-08 12:00:00,2022-03-08 13:00:00,2022-03-09 12:00:00,site7_start11466,2022-04-25 17:00:00
site0_start10310,0,test,2022-03-07 14:00:00,2022-03-08 13:00:00,2022-03-08 13:00:00,2022-03-08 14:00:00,2022-03-09 13:00:00,site6_start10911,2022-04-02 14:00:00
site0_start10311,0,test,2022-03-07 15:00:00,2022-03-08 14:00:00,2022-03-08 14:00:00,2022-03-08 15:00:00,2022-03-09 14:00:00,site5_start12202,2022-05-26 09:00:00
site0_start10312,0,test,2022-03-07 16:00:00,2022-03-08 15:00:00,2022-03-08 15:00:00,2022-03-08 16:00:00,2022-03-09 15:00:00,site7_start11877,2022-05-12 20:00:00
site0_start10313,0,test,2022-03-07 17:00:00,2022-03-08 16:00:00,2022-03-08 16:00:00,2022-03-08 17:00:00,2022-03-09 16:00:00,site0_start12453,2022-06-05 20:00:00
site0_start10314,0,test,2022-03-07 18:00:00,2022-03-08 17:00:00,2022-03-08 17:00:00,2022-03-08 18:00:00,2022-03-09 17:00:00,site8_start11579,2022-04-30 10:00:00
site0_start10315,0,test,2022-03-07 19:00:00,2022-03-08 18:00:00,2022-03-08 18:00:00,2022-03-08 19:00:00,2022-03-09 18:00:00,site4_start11819,2022-05-10 10:00:00
site0_start10316,0,test,2022-03-07 20:00:00,2022-03-08 19:00:00,2022-03-08 19:00:00,2022-03-08 20:00:00,2022-03-09 19:00:00,site1_start11669,2022-05-04 04:00:00
site0_start10317,0,test,2022-03-07 21:00:00,2022-03-08 20:00:00,2022-03-08 20:00:00,2022-03-08 21:00:00,2022-03-09 20:00:00,site1_start10356,2022-03-10 11:00:00
site0_start10318,0,test,2022-03-07 22:00:00,2022-03-08 21:00:00,2022-03-08 21:00:00,2022-03-08 22:00:00,2022-03-09 21:00:00,site9_start12531,2022-06-09 02:00:00
site0_start10319,0,test,2022-03-07 23:00:00,2022-03-08 22:00:00,2022-03-08 22:00:00,2022-03-08 23:00:00,2022-03-09 22:00:00,site9_start11080,2022-04-09 15:00:00
site0_start10320,0,test,2022-03-08 00:00:00,2022-03-08 23:00:00,2022-03-08 23:00:00,2022-03-09 00:00:00,2022-03-09 23:00:00,site6_start12615,2022-06-12 14:00:00
site0_start10321,0,test,2022-03-08 01:00:00,2022-03-09 00:00:00,2022-03-09 00:00:00,2022-03-09 01:00:00,2022-03-10 00:00:00,site0_start10715,2022-03-25 10:00:00
site0_start10322,0,test,2022-03-08 02:00:00,2022-03-09 01:00:00,2022-03-09 01:00:00,2022-03-09 02:00:00,2022-03-10 01:00:00,site2_start12378,2022-06-02 17:00:00
site0_start10323,0,test,2022-03-08 03:00:00,2022-03-09 02:00:00,2022-03-09 02:00:00,2022-03-09 03:00:00,2022-03-10 02:00:00,site1_start11268,2022-04-17 11:00:00
site0_start10324,0,test,2022-03-08 04:00:00,2022-03-09 03:00:00,2022-03-09 03:00:00,2022-03-09 04:00:00,2022-03-10 03:00:00,site2_start10574,2022-03-19 13:00:00
site0_start10325,0,test,2022-03-08 05:00:00,2022-03-09 04:00:00,2022-03-09 04:00:00,2022-03-09 05:00:00,2022-03-10 04:00:00,site0_start12165,2022-05-24 20:00:00
site0_start10326,0,test,2022-03-08 06:00:00,2022-03-09 05:00:00,2022-03-09 05:00:00,2022-03-09 06:00:00,2022-03-10 05:00:00,site4_start12463,2022-06-06 06:00:00
site0_start10327,0,test,2022-03-08 07:00:00,2022-03-09 06:00:00,2022-03-09 06:00:00,2022-03-09 07:00:00,2022-03-10 06:00:00,site3_start12739,2022-06-17 18:00:00
site0_start10328,0,test,2022-03-08 08:00:00,2022-03-09 07:00:00,2022-03-09 07:00:00,2022-03-09 08:00:00,2022-03-10 07:00:00,site6_start11423,2022-04-23 22:00:00
site0_start10329,0,test,2022-03-08 09:00:00,2022-03-09 08:00:00,2022-03-09 08:00:00,2022-03-09 09:00:00,2022-03-10 08:00:00,site6_start11044,2022-04-08 03:00:00
site0_start10330,0,test,2022-03-08 10:00:00,2022-03-09 09:00:00,2022-03-09 09:00:00,2022-03-09 10:00:00,2022-03-10 09:00:00,site7_start11957,2022-05-16 04:00:00
site0_start10331,0,test,2022-03-08 11:00:00,2022-03-09 10:00:00,2022-03-09 10:00:00,2022-03-09 11:00:00,2022-03-10 10:00:00,site5_start12720,2022-06-16 23:00:00
site0_start10332,0,test,2022-03-08 12:00:00,2022-03-09 11:00:00,2022-03-09 11:00:00,2022-03-09 12:00:00,2022-03-10 11:00:00,site3_start11321,2022-04-19 16:00:00
site0_start10333,0,test,2022-03-08 13:00:00,2022-03-09 12:00:00,2022-03-09 12:00:00,2022-03-09 13:00:00,2022-03-10 12:00:00,site1_start12521,2022-06-08 16:00:00
site0_start10334,0,test,2022-03-08 14:00:00,2022-03-09 13:00:00,2022-03-09 13:00:00,2022-03-09 14:00:00,2022-03-10 13:00:00,site2_start11695,2022-05-05 06:00:00
site0_start10335,0,test,2022-03-08 15:00:00,2022-03-09 14:00:00,2022-03-09 14:00:00,2022-03-09 15:00:00,2022-03-10 14:00:00,site7_start11271,2022-04-17 14:00:00
site0_start10336,0,test,2022-03-08 16:00:00,2022-03-09 15:00:00,2022-03-09 15:00:00,2022-03-09 16:00:00,2022-03-10 15:00:00,site1_start10767,2022-03-27 14:00:00
site0_start10337,0,test,2022-03-08 17:00:00,2022-03-09 16:00:00,2022-03-09 16:00:00,2022-03-09 17:00:00,2022-03-10 16:00:00,site2_start11390,2022-04-22 13:00:00
site0_start10338,0,test,2022-03-08 18:00:00,2022-03-09 17:00:00,2022-03-09 17:00:00,2022-03-09 18:00:00,2022-03-10 17:00:00,site9_start11929,2022-05-15 00:00:00
site0_start10339,0,test,2022-03-08 19:00:00,2022-03-09 18:00:00,2022-03-09 18:00:00,2022-03-09 19:00:00,2022-03-10 18:00:00,site5_start12274,2022-05-29 09:00:00
site0_start10340,0,test,2022-03-08 20:00:00,2022-03-09 19:00:00,2022-03-09 19:00:00,2022-03-09 20:00:00,2022-03-10 19:00:00,site4_start12064,2022-05-20 15:00:00
site0_start10341,0,test,2022-03-08 21:00:00,2022-03-09 20:00:00,2022-03-09 20:00:00,2022-03-09 21:00:00,2022-03-10 20:00:00,site1_start12298,2022-05-30 09:00:00
site0_start10342,0,test,2022-03-08 22:00:00,2022-03-09 21:00:00,2022-03-09 21:00:00,2022-03-09 22:00:00,2022-03-10 21:00:00,site9_start11386,2022-04-22 09:00:00
site0_start10343,0,test,2022-03-08 23:00:00,2022-03-09 22:00:00,2022-03-09 22:00:00,2022-03-09 23:00:00,2022-03-10 22:00:00,site0_start10383,2022-03-11 14:00:00
site0_start10344,0,test,2022-03-09 00:00:00,2022-03-09 23:00:00,2022-03-09 23:00:00,2022-03-10 00:00:00,2022-03-10 23:00:00,site5_start11281,2022-04-18 00:00:00
site0_start10345,0,test,2022-03-09 01:00:00,2022-03-10 00:00:00,2022-03-10 00:00:00,2022-03-10 01:00:00,2022-03-11 00:00:00,site0_start12059,2022-05-20 10:00:00
site0_start10346,0,test,2022-03-09 02:00:00,2022-03-10 01:00:00,2022-03-10 01:00:00,2022-03-10 02:00:00,2022-03-11 01:00:00,site9_start10518,2022-03-17 05:00:00
site0_start10347,0,test,2022-03-09 03:00:00,2022-03-10 02:00:00,2022-03-10 02:00:00,2022-03-10 03:00:00,2022-03-11 02:00:00,site6_start11272,2022-04-17 15:00:00
site0_start10348,0,test,2022-03-09 04:00:00,2022-03-10 03:00:00,2022-03-10 03:00:00,2022-03-10 04:00:00,2022-03-11 03:00:00,site4_start11325,2022-04-19 20:00:00
site0_start10349,0,test,2022-03-09 05:00:00,2022-03-10 04:00:00,2022-03-10 04:00:00,2022-03-10 05:00:00,2022-03-11 04:00:00,site8_start12308,2022-05-30 19:00:00
site0_start10350,0,test,2022-03-09 06:00:00,2022-03-10 05:00:00,2022-03-10 05:00:00,2022-03-10 06:00:00,2022-03-11 05:00:00,site4_start10483,2022-03-15 18:00:00
site0_start10351,0,test,2022-03-09 07:00:00,2022-03-10 06:00:00,2022-03-10 06:00:00,2022-03-10 07:00:00,2022-03-11 06:00:00,site8_start11472,2022-04-25 23:00:00
site0_start10352,0,test,2022-03-09 08:00:00,2022-03-10 07:00:00,2022-03-10 07:00:00,2022-03-10 08:00:00,2022-03-11 07:00:00,site2_start12547,2022-06-09 18:00:00
site0_start10353,0,test,2022-03-09 09:00:00,2022-03-10 08:00:00,2022-03-10 08:00:00,2022-03-10 09:00:00,2022-03-11 08:00:00,site0_start11555,2022-04-29 10:00:00
site0_start10354,0,test,2022-03-09 10:00:00,2022-03-10 09:00:00,2022-03-10 09:00:00,2022-03-10 10:00:00,2022-03-11 09:00:00,site1_start11010,2022-04-06 17:00:00
site0_start10355,0,test,2022-03-09 11:00:00,2022-03-10 10:00:00,2022-03-10 10:00:00,2022-03-10 11:00:00,2022-03-11 10:00:00,site5_start11237,2022-04-16 04:00:00
site0_start10356,0,test,2022-03-09 12:00:00,2022-03-10 11:00:00,2022-03-10 11:00:00,2022-03-10 12:00:00,2022-03-11 11:00:00,site9_start11410,2022-04-23 09:00:00
site0_start10357,0,test,2022-03-09 13:00:00,2022-03-10 12:00:00,2022-03-10 12:00:00,2022-03-10 13:00:00,2022-03-11 12:00:00,site0_start12076,2022-05-21 03:00:00
site0_start10358,0,test,2022-03-09 14:00:00,2022-03-10 13:00:00,2022-03-10 13:00:00,2022-03-10 14:00:00,2022-03-11 13:00:00,site6_start11092,2022-04-10 03:00:00
site0_start10359,0,test,2022-03-09 15:00:00,2022-03-10 14:00:00,2022-03-10 14:00:00,2022-03-10 15:00:00,2022-03-11 14:00:00,site3_start11898,2022-05-13 17:00:00
site0_start10360,0,test,2022-03-09 16:00:00,2022-03-10 15:00:00,2022-03-10 15:00:00,2022-03-10 16:00:00,2022-03-11 15:00:00,site8_start10422,2022-03-13 05:00:00
site0_start10361,0,test,2022-03-09 17:00:00,2022-03-10 16:00:00,2022-03-10 16:00:00,2022-03-10 17:00:00,2022-03-11 16:00:00,site4_start12746,2022-06-18 01:00:00
site0_start10362,0,test,2022-03-09 18:00:00,2022-03-10 17:00:00,2022-03-10 17:00:00,2022-03-10 18:00:00,2022-03-11 17:00:00,site3_start11653,2022-05-03 12:00:00
site0_start10363,0,test,2022-03-09 19:00:00,2022-03-10 18:00:00,2022-03-10 18:00:00,2022-03-10 19:00:00,2022-03-11 18:00:00,site1_start11002,2022-04-06 09:00:00
site0_start10364,0,test,2022-03-09 20:00:00,2022-03-10 19:00:00,2022-03-10 19:00:00,2022-03-10 20:00:00,2022-03-11 19:00:00,site0_start11257,2022-04-17 00:00:00
site0_start10365,0,test,2022-03-09 21:00:00,2022-03-10 20:00:00,2022-03-10 20:00:00,2022-03-10 21:00:00,2022-03-11 20:00:00,site1_start11588,2022-04-30 19:00:00
site0_start10366,0,test,2022-03-09 22:00:00,2022-03-10 21:00:00,2022-03-10 21:00:00,2022-03-10 22:00:00,2022-03-11 21:00:00,site2_start11560,2022-04-29 15:00:00
site0_start10367,0,test,2022-03-09 23:00:00,2022-03-10 22:00:00,2022-03-10 22:00:00,2022-03-10 23:00:00,2022-03-11 22:00:00,site0_start11015,2022-04-06 22:00:00
site0_start10368,0,test,2022-03-10 00:00:00,2022-03-10 23:00:00,2022-03-10 23:00:00,2022-03-11 00:00:00,2022-03-11 23:00:00,site3_start12168,2022-05-24 23:00:00
site0_start10369,0,test,2022-03-10 01:00:00,2022-03-11 00:00:00,2022-03-11 00:00:00,2022-03-11 01:00:00,2022-03-12 00:00:00,site7_start10814,2022-03-29 13:00:00
site0_start10370,0,test,2022-03-10 02:00:00,2022-03-11 01:00:00,2022-03-11 01:00:00,2022-03-11 02:00:00,2022-03-12 01:00:00,site1_start11581,2022-04-30 12:00:00
site0_start10371,0,test,2022-03-10 03:00:00,2022-03-11 02:00:00,2022-03-11 02:00:00,2022-03-11 03:00:00,2022-03-12 02:00:00,site9_start12330,2022-05-31 17:00:00
site0_start10372,0,test,2022-03-10 04:00:00,2022-03-11 03:00:00,2022-03-11 03:00:00,2022-03-11 04:00:00,2022-03-12 03:00:00,site0_start12113,2022-05-22 16:00:00
site0_start10373,0,test,2022-03-10 05:00:00,2022-03-11 04:00:00,2022-03-11 04:00:00,2022-03-11 05:00:00,2022-03-12 04:00:00,site7_start10434,2022-03-13 17:00:00
site0_start10374,0,test,2022-03-10 06:00:00,2022-03-11 05:00:00,2022-03-11 05:00:00,2022-03-11 06:00:00,2022-03-12 05:00:00,site3_start12406,2022-06-03 21:00:00
site0_start10375,0,test,2022-03-10 07:00:00,2022-03-11 06:00:00,2022-03-11 06:00:00,2022-03-11 07:00:00,2022-03-12 06:00:00,site2_start11577,2022-04-30 08:00:00
site0_start10376,0,test,2022-03-10 08:00:00,2022-03-11 07:00:00,2022-03-11 07:00:00,2022-03-11 08:00:00,2022-03-12 07:00:00,site1_start10952,2022-04-04 07:00:00
site0_start10377,0,test,2022-03-10 09:00:00,2022-03-11 08:00:00,2022-03-11 08:00:00,2022-03-11 09:00:00,2022-03-12 08:00:00,site6_start12587,2022-06-11 10:00:00
site0_start10378,0,test,2022-03-10 10:00:00,2022-03-11 09:00:00,2022-03-11 09:00:00,2022-03-11 10:00:00,2022-03-12 09:00:00,site2_start10669,2022-03-23 12:00:00
site0_start10379,0,test,2022-03-10 11:00:00,2022-03-11 10:00:00,2022-03-11 10:00:00,2022-03-11 11:00:00,2022-03-12 10:00:00,site9_start12729,2022-06-17 08:00:00
site0_start10380,0,test,2022-03-10 12:00:00,2022-03-11 11:00:00,2022-03-11 11:00:00,2022-03-11 12:00:00,2022-03-12 11:00:00,site4_start12633,2022-06-13 08:00:00
site0_start10381,0,test,2022-03-10 13:00:00,2022-03-11 12:00:00,2022-03-11 12:00:00,2022-03-11 13:00:00,2022-03-12 12:00:00,site4_start10733,2022-03-26 04:00:00
site0_start10382,0,test,2022-03-10 14:00:00,2022-03-11 13:00:00,2022-03-11 13:00:00,2022-03-11 14:00:00,2022-03-12 13:00:00,site6_start10927,2022-04-03 06:00:00
site0_start10383,0,test,2022-03-10 15:00:00,2022-03-11 14:00:00,2022-03-11 14:00:00,2022-03-11 15:00:00,2022-03-12 14:00:00,site8_start11020,2022-04-07 03:00:00
site0_start10384,0,test,2022-03-10 16:00:00,2022-03-11 15:00:00,2022-03-11 15:00:00,2022-03-11 16:00:00,2022-03-12 15:00:00,site1_start11009,2022-04-06 16:00:00
site0_start10385,0,test,2022-03-10 17:00:00,2022-03-11 16:00:00,2022-03-11 16:00:00,2022-03-11 17:00:00,2022-03-12 16:00:00,site0_start12373,2022-06-02 12:00:00
site0_start10386,0,test,2022-03-10 18:00:00,2022-03-11 17:00:00,2022-03-11 17:00:00,2022-03-11 18:00:00,2022-03-12 17:00:00,site4_start12600,2022-06-11 23:00:00
site0_start10387,0,test,2022-03-10 19:00:00,2022-03-11 18:00:00,2022-03-11 18:00:00,2022-03-11 19:00:00,2022-03-12 18:00:00,site9_start12310,2022-05-30 21:00:00
site0_start10388,0,test,2022-03-10 20:00:00,2022-03-11 19:00:00,2022-03-11 19:00:00,2022-03-11 20:00:00,2022-03-12 19:00:00,site7_start12556,2022-06-10 03:00:00
site0_start10389,0,test,2022-03-10 21:00:00,2022-03-11 20:00:00,2022-03-11 20:00:00,2022-03-11 21:00:00,2022-03-12 20:00:00,site5_start10978,2022-04-05 09:00:00
site0_start10390,0,test,2022-03-10 22:00:00,2022-03-11 21:00:00,2022-03-11 21:00:00,2022-03-11 22:00:00,2022-03-12 21:00:00,site8_start11730,2022-05-06 17:00:00
site0_start10391,0,test,2022-03-10 23:00:00,2022-03-11 22:00:00,2022-03-11 22:00:00,2022-03-11 23:00:00,2022-03-12 22:00:00,site7_start12547,2022-06-09 18:00:00
